Story #	Test Case ID	Test Description	Test Data	Test Steps	Expected Output	Detailed Test Category	Attachments(Issue)	Pass/Faile	"Defect-ID (JIRA)
(if Fail)"	Pass/Fail	Comments	Defect-ID(JIRA)	Device	Attachments(Issue)
	TC050	BE is unable to proceed with any mode of consent due to technical issues	-	"1. BE attempts to proceed with the selected mode of consent but encounters a technical issue. 2. BE attempts to select a different mode of consent (e.g., Manual based Consent or Link) but encounters the same technical issue."	BE is unable to proceed with any mode of consent due to technical issues.	Negative								
	TC051	"BE is able to select ""Manual based Consent"" as a different mode of consent"	-	"1. BE attempts to proceed with the selected mode of consent but encounters an issue. 2. BE selects ""Manual based Consent"" as a different mode of consent."	"BE is able to select ""Manual based Consent"" as a different mode of consent and proceed further."	Positive								
	TC052	"BE is able to select ""Link"" as a different mode of consent"	-	"1. BE attempts to proceed with the selected mode of consent but encounters an issue. 2. BE selects ""Link"" as a different mode of consent."	"BE is able to select ""Link"" as a different mode of consent and proceed further."	Positive								
	Acceptance Criteria Scenario 6: BE selects OTR (One Time Reference) based mode of consent.													
	TC053	BE successfully sends an OTR SMS to the primary applicant's mobile number	-	1. BE selects the 'OTR' based consent option. 2. BE clicks on the 'Send OTR' button.	An SMS is sent to the primary applicant's mobile number containing the OTR.	Positive								
	TC054	BE enters a valid OTR provided by the customer in the FE app	Valid OTR	1. BE receives an OTR SMS on their mobile number. 2. BE enters the OTR provided by the customer in the FE app.	BE enters the valid OTR without any issues.	Positive								
	TC055	System verifies the OTR after BE enters the 4th digit for OTR	Valid OTR	1. BE receives an OTR SMS on their mobile number. 2. BE enters the first three digits of the OTR provided by the customer in the FE app. 3. BE enters the 4th digit of the OTR.	System successfully verifies the OTR after BE enters the 4th digit.	Positive								
	TC056	BE verifies the OTR successfully and clicks on the 'Proceed' button	-	1. BE receives an OTR SMS on their mobile number. 2. BE enters the OTR provided by the customer in the FE app. 3. System verifies the OTR after BE enters the 4th digit. 4. System displays a popup with 'Verification Successful' and a 'Proceed' button. 5. BE clicks on the 'Proceed' button.	System displays a popup with 'Verification Successful' and a 'Proceed' button. BE is able to click on the 'Proceed' button and proceed to the KYC stage.	Positive								
	TC057	BE is unable to proceed to the KYC stage if the OTR is not verified successfully	-	1. BE receives an OTR SMS on their mobile number. 2. BE enters an invalid OTR provided by the customer in the FE app. 3. System attempts to verify the OTR after BE enters the 4th digit. 4. System displays a popup indicating 'Verification Failed'.	System displays a popup indicating 'Verification Failed'. BE is unable to proceed to the KYC stage.	Negative								
	"Acceptance Criteria Scenario 7: BE selects ""OTR"" based mode of consent but the SMS is not received by the Primary applicant"													
	TC058	"BE selects 'OTR'-based consent and clicks on the 'Send OTR' button, and the primary applicant does not receive the SMS"	-	1. BE selects 'OTR'-based consent. 2. BE clicks on the 'Send OTR' button. 3. The primary applicant does not receive the SMS.	The 'Resend OTR' button is activated.	Positive								
	TC059	"BE selects 'OTR'-based consent and clicks on the 'Send OTR' button, and the primary applicant does not receive the SMS"	-	1. BE selects 'OTR'-based consent. 2. BE clicks on the 'Send OTR' button. 3. The primary applicant does not receive the SMS.	The 'Resend OTR' button is not activated.	Negative								
	TC060	BE is able to resend the OTR SMS	-	1. BE selects 'OTR'-based consent. 2. BE clicks on the 'Send OTR' button. 3. The primary applicant does not receive the SMS. 4. BE clicks on the 'Resend OTR' button.	The OTR SMS is resent to the primary applicant's mobile number.	Positive								
	TC061	BE attempts to resend the OTR SMS more than 'X' times (configured maximum resend attempts)	-	1. BE selects 'OTR'-based consent. 2. BE clicks on the 'Send OTR' button. 3. The primary applicant does not receive the SMS. 4. BE clicks on the 'Resend OTR' button 'X' times (configured maximum resend attempts).	The 'Resend OTR' button is disabled after 'X' attempts (configured maximum resend attempts).	Positive								
	TC062	"BE selects 'OTR'-based consent, but the OTR expires before the primary applicant receives the SMS"	-	1. BE selects 'OTR'-based consent. 2. BE clicks on the 'Send OTR' button. 3. The OTR expires before the primary applicant receives the SMS.	"The 'Resend OTR' button is activated, and BE can select another mode of consent."	Positive								
	TC063	"BE selects 'OTR'-based consent, but the OTR expires before the primary applicant receives the SMS"	-	1. BE selects 'OTR'-based consent. 2. BE clicks on the 'Send OTR' button. 3. The OTR expires before the primary applicant receives the SMS.	"The 'Resend OTR' button is activated, and BE cann't able to select another mode of consent."	Negative								
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
